,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
334,Sabes mejor que nadie lo que una foto le puede hacer a la gente.,Tú sabes mejor que nadie el daño que puede hacer una foto.,<s>Sabes mejor que nadie lo que una foto le puede hacer a la gente.</s>>>>><p>Tú sabes mejor que nadie el daño que puede hacer una foto.</p>,<s>Sabes mejor que nadie lo que una foto le puede hacer a la gente.</s>>>>><p>,Tienes razón. Sabes mejor que nadie lo que una foto le puede hacer a la gente.
335,"¿Duele mucho, Ty? Mucho.",Tú sabes cuánto te duele. Mucho.,"<s>¿Duele mucho, Ty? Mucho.</s>>>>><p>Tú sabes cuánto te duele. Mucho.</p>","<s>¿Duele mucho, Ty? Mucho.</s>>>>><p>","¿Duele mucho, Ty? Mucho."
336,¡Aquí mando yo!,¡Soy chachi!,<s>¡Aquí mando yo!</s>>>>><p>¡Soy chachi!</p>,<s>¡Aquí mando yo!</s>>>>><p>,¡A mando yo!
337,Ahora es mi turno de esconderme. Es mi turno otra vez. No funciona así.,"Vale, me toca a mí esconderme. Me toca otra vez. Así no funcionan los turnos.","<s>Ahora es mi turno de esconderme. Es mi turno otra vez. No funciona así.</s>>>>><p>Vale, me toca a mí esconderme. Me toca otra vez. Así no funcionan los turnos.</p>",<s>Ahora es mi turno de esconderme. Es mi turno otra vez. No funciona así.</s>>>>><p>,Dale la espalda. Es mi turno de esconderme. Es mi turno. No funciona así.
338,No necesito amigas. Yo misma me hago compañía.,No necesito amigas. Tengo mi propia compañía.,<s>No necesito amigas. Yo misma me hago compañía.</s>>>>><p>No necesito amigas. Tengo mi propia compañía.</p>,<s>No necesito amigas. Yo misma me hago compañía.</s>>>>><p>,No necesito amigas. Yo me ocupo de eso.
339,"Bancos como este lo hicieron quebrar. Yo sé que cometí un error, lo admito, pero esta gente quiere sangre.","Por culpa de bancos como este. Oiga, sé que cometí un error, pero esa gente quiere sangre.","<s>Bancos como este lo hicieron quebrar. Yo sé que cometí un error, lo admito, pero esta gente quiere sangre.</s>>>>><p>Por culpa de bancos como este. Oiga, sé que cometí un error, pero esa gente quiere sangre.</p>","<s>Bancos como este lo hicieron quebrar. Yo sé que cometí un error, lo admito, pero esta gente quiere sangre.</s>>>>><p>","como este lo hizo romper. Yo sé que cometí un error, lo admito, pero esta gente quiere sangre."
340,¿Y por qué atacaste a Once? ¿Te dijo eso? ¿Quién está haciendo las preguntas?,¿Y por qué agrediste a Once? ¿Te lo ha dicho ella? Yo hago las preguntas.,<s>¿Y por qué atacaste a Once? ¿Te dijo eso? ¿Quién está haciendo las preguntas?</s>>>>><p>¿Y por qué agrediste a Once? ¿Te lo ha dicho ella? Yo hago las preguntas.</p>,<s>¿Y por qué atacaste a Once? ¿Te dijo eso? ¿Quién está haciendo las preguntas?</s>>>>><p>,¿Y por qué atacaste a Once? ¿Quién está haciendo las preguntas?
341,SOPA DE LETRAS,SOPA DE LETRAS,<s>SOPA DE LETRAS</s>>>>><p>SOPA DE LETRAS</p>,<s>SOPA DE LETRAS</s>>>>><p>,EL LETRAS
342,"¿Y los trillizos? ¿No eran mellizos? ¿Dónde están? Son dos, ¿verdad?","¿Y los trillizos? Creía que eran gemelos. ¿Dónde están? Hay dos, ¿no?","<s>¿Y los trillizos? ¿No eran mellizos? ¿Dónde están? Son dos, ¿verdad?</s>>>>><p>¿Y los trillizos? Creía que eran gemelos. ¿Dónde están? Hay dos, ¿no?</p>","<s>¿Y los trillizos? ¿No eran mellizos? ¿Dónde están? Son dos, ¿verdad?</s>>>>><p>","¿Y los trillizos? ¿No eran gemelos? ¿Dónde están? Son dos, ¿no?"
343,"Pero cada vez que lo alejaba, él regresaba.","Pero cada vez que lo rechazaba, él volvía.","<s>Pero cada vez que lo alejaba, él regresaba.</s>>>>><p>Pero cada vez que lo rechazaba, él volvía.</p>","<s>Pero cada vez que lo alejaba, él regresaba.</s>>>>><p>","Pero cada vez que lo alejara, volvía."
344,"¿No te quieres duchar? Eso no me permitiría sudar, ¿verdad?",¿Es que no se te ocurrió ducharte? Eso iría contra el propósito de sudar.,"<s>¿No te quieres duchar? Eso no me permitiría sudar, ¿verdad?</s>>>>><p>¿Es que no se te ocurrió ducharte? Eso iría contra el propósito de sudar.</p>","<s>¿No te quieres duchar? Eso no me permitiría sudar, ¿verdad?</s>>>>><p>","¿No te apetece ducharte? No me dejaría sudar, ¿no?"
345,¿Crees haber elegido el control correcto?,¿Qué probabilidades hay de que hayas cogido el mando correcto?,<s>¿Crees haber elegido el control correcto?</s>>>>><p>¿Qué probabilidades hay de que hayas cogido el mando correcto?</p>,<s>¿Crees haber elegido el control correcto?</s>>>>><p>,¿Crees que elegí el control correcto?
346,"Bueno, te ves muy bien. ¿Te vas a la fiesta?",Mira qué guapo. A la fiesta.,"<s>Bueno, te ves muy bien. ¿Te vas a la fiesta?</s>>>>><p>Mira qué guapo. A la fiesta.</p>","<s>Bueno, te ves muy bien. ¿Te vas a la fiesta?</s>>>>><p>",¿Estás bien? Estás muy guapa. ¿Te vas a la fiesta?
347,RESPUESTAS,RESPUESTAS,<s>RESPUESTAS</s>>>>><p>RESPUESTAS</p>,<s>RESPUESTAS</s>>>>><p>,RESPUESTAS
348,No. Prisión.,No. Una prisión.,<s>No. Prisión.</s>>>>><p>No. Una prisión.</p>,<s>No. Prisión.</s>>>>><p>,¿No? No. Prisión.
349,Ahora me duele la cabeza por el aburrimiento.,Aunque ahora los han sustituido los de aburrimiento.,<s>Ahora me duele la cabeza por el aburrimiento.</s>>>>><p>Aunque ahora los han sustituido los de aburrimiento.</p>,<s>Ahora me duele la cabeza por el aburrimiento.</s>>>>><p>,...ahora me duele la cabeza por el aburrimiento.
350,"Esta noche, caballeros, es uno de esos momentos.","Esta noche, señores, os harán una de ellas.","<s>Esta noche, caballeros, es uno de esos momentos.</s>>>>><p>Esta noche, señores, os harán una de ellas.</p>","<s>Esta noche, caballeros, es uno de esos momentos.</s>>>>><p>","Esta noche, caballeros, es uno de esos momentos."
351,Supongo que no tiene sentido aplazarlo.,No tiene sentido posponerla.,<s>Supongo que no tiene sentido aplazarlo.</s>>>>><p>No tiene sentido posponerla.</p>,<s>Supongo que no tiene sentido aplazarlo.</s>>>>><p>,No tiene sentido aplazarlo.
352,...que se acomodara? ¡Probablemente no! ¡Probablemente no!,...se pusiese cómoda? ¡Seguramente no! ¡Seguramente no!,<s>...que se acomodara? ¡Probablemente no! ¡Probablemente no!</s>>>>><p>...se pusiese cómoda? ¡Seguramente no! ¡Seguramente no!</p>,<s>...que se acomodara? ¡Probablemente no! ¡Probablemente no!</s>>>>><p>,...que se acomodara? ¡Seguramente no! ¡Seguramente no!
353,Y yo respeto eso. Pero te metiste con ella. No es tan simple. Sí es simple.,"Y lo respeto. Si fuera así, la dejarías. No es tan sencillo. Sí.","<s>Y yo respeto eso. Pero te metiste con ella. No es tan simple. Sí es simple.</s>>>>><p>Y lo respeto. Si fuera así, la dejarías. No es tan sencillo. Sí.</p>",<s>Y yo respeto eso. Pero te metiste con ella. No es tan simple. Sí es simple.</s>>>>><p>,Y yo respeto eso. Pero te has metido con ella. No es tan sencillo. Sí.
354,"...puede que yo haya quebrado algunas. ¿Algunas? Bueno, todas.","Puede que me haya saltado algunas reglas. ¿Algunas? Vale, todas.","<s>...puede que yo haya quebrado algunas. ¿Algunas? Bueno, todas.</s>>>>><p>Puede que me haya saltado algunas reglas. ¿Algunas? Vale, todas.</p>","<s>...puede que yo haya quebrado algunas. ¿Algunas? Bueno, todas.</s>>>>><p>","...puede que yo haya roto algunas cosas. ¿Algunas? Bueno, todas."
355,"De manera oficial. Así que, cuidado, Rosen.","Ya es oficial. Así que te aguantas, Rosen.","<s>De manera oficial. Así que, cuidado, Rosen.</s>>>>><p>Ya es oficial. Así que te aguantas, Rosen.</p>","<s>De manera oficial. Así que, cuidado, Rosen.</s>>>>><p>","En realidad, no. No te preocupes, Rosen."
356,Clay. Clay.,Clay. Clay.,<s>Clay. Clay.</s>>>>><p>Clay. Clay.</p>,<s>Clay. Clay.</s>>>>><p>,Clay. Clay.
357,con que los servicios militares y de inteligencia iraquíes se esfumaron.,"que, básicamente, los servicios militares y de inteligencia iraquíes desaparecieron completamente.","<s>con que los servicios militares y de inteligencia iraquíes se esfumaron.</s>>>>><p>que, básicamente, los servicios militares y de inteligencia iraquíes desaparecieron completamente.</p>",<s>con que los servicios militares y de inteligencia iraquíes se esfumaron.</s>>>>><p>,con que los servicios militares y de inteligencia iraquíes se esfumaron.
358,"Grace, voy a cancelar con las chicas. No.",Voy a cancelar a las chicas. No.,"<s>Grace, voy a cancelar con las chicas. No.</s>>>>><p>Voy a cancelar a las chicas. No.</p>","<s>Grace, voy a cancelar con las chicas. No.</s>>>>><p>","Grace, voy a cancelar con las chicas. No."
359,"Damas y caballeros, el show va a empezar. Encuentren su asiento y apaguen los aparatos.","Damas y caballeros, el espectáculo va a comenzar. Acomódense y pongan en silencio sus artilugios mecánicos.","<s>Damas y caballeros, el show va a empezar. Encuentren su asiento y apaguen los aparatos.</s>>>>><p>Damas y caballeros, el espectáculo va a comenzar. Acomódense y pongan en silencio sus artilugios mecánicos.</p>","<s>Damas y caballeros, el show va a empezar. Encuentren su asiento y apaguen los aparatos.</s>>>>><p>","Damas y caballeros, el espectáculo va a empezar. Encuentren su asiento y apaguen los aparatos."
360,"y, como la OPM no tenía una tecnología muy sofisticada en ese entonces,","Como la tecnología cibernética de la OPM entonces no era muy sofisticada,","<s>y, como la OPM no tenía una tecnología muy sofisticada en ese entonces,</s>>>>><p>Como la tecnología cibernética de la OPM entonces no era muy sofisticada,</p>","<s>y, como la OPM no tenía una tecnología muy sofisticada en ese entonces,</s>>>>><p>","y, como la OPM no tenía una tecnología muy avanzada en ese entonces,"
361,¿Qué? Nada. Vamos. No dije nada.,¿Qué? Nada. ¡Cállate! No he dicho nada.,<s>¿Qué? Nada. Vamos. No dije nada.</s>>>>><p>¿Qué? Nada. ¡Cállate! No he dicho nada.</p>,<s>¿Qué? Nada. Vamos. No dije nada.</s>>>>><p>,¿Qué? Nada. Vamos. No he dicho nada.
362,Pero ¿por qué traes a alguien que conociste anoche? Porque aceptó venir.,¿Por qué la traes? ¡La conociste anoche! Porque ha dicho que sí.,<s>Pero ¿por qué traes a alguien que conociste anoche? Porque aceptó venir.</s>>>>><p>¿Por qué la traes? ¡La conociste anoche! Porque ha dicho que sí.</p>,<s>Pero ¿por qué traes a alguien que conociste anoche? Porque aceptó venir.</s>>>>><p>,¿Por qué traes a alguien que conociste anoche? Porque aceptó venir.
363,Siempre lo supiste. ¿Qué cosa? Que todo esto es mi culpa. ¿Cómo lo iba a saber?,Desde el principio. ¿El qué? Que todo es culpa mía. ¿Cómo voy a saberlo?,<s>Siempre lo supiste. ¿Qué cosa? Que todo esto es mi culpa. ¿Cómo lo iba a saber?</s>>>>><p>Desde el principio. ¿El qué? Que todo es culpa mía. ¿Cómo voy a saberlo?</p>,<s>Siempre lo supiste. ¿Qué cosa? Que todo esto es mi culpa. ¿Cómo lo iba a saber?</s>>>>><p>,Dijiste que lo sabías. ¿Qué? Que todo esto es culpa mía. ¿Cómo iba a saberlo?
364,"¡Gracias! Suertudo, ¿te gustaría cortar el tronco más rápido?","¡Gracias! Afortunado, ¿cortas el tronco más rápido?","<s>¡Gracias! Suertudo, ¿te gustaría cortar el tronco más rápido?</s>>>>><p>¡Gracias! Afortunado, ¿cortas el tronco más rápido?</p>","<s>¡Gracias! Suertudo, ¿te gustaría cortar el tronco más rápido?</s>>>>><p>","¡Gracias! Suertudo, ¿te gustaría cortar el tronco más rápido?"
365,Luego volvimos al cuarto.,Después volvimos.,<s>Luego volvimos al cuarto.</s>>>>><p>Después volvimos.</p>,<s>Luego volvimos al cuarto.</s>>>>><p>,Y nos quedamos en el cuarto.
366,Aquí está.,Aquí viene.,<s>Aquí está.</s>>>>><p>Aquí viene.</p>,<s>Aquí está.</s>>>>><p>,¿Qué?
367,"Craps. Fuera de línea. Lo siento, señoritas. La aguafiestas camboyana contraataca. Vete de la mesa.","Craps. Línea perdida. Lo siento, señoritas. La camboyana ataca de nuevo. Tienes que irte de la mesa.","<s>Craps. Fuera de línea. Lo siento, señoritas. La aguafiestas camboyana contraataca. Vete de la mesa.</s>>>>><p>Craps. Línea perdida. Lo siento, señoritas. La camboyana ataca de nuevo. Tienes que irte de la mesa.</p>","<s>Craps. Fuera de línea. Lo siento, señoritas. La aguafiestas camboyana contraataca. Vete de la mesa.</s>>>>><p>","Diga. No pasa nada. Lo siento, señoritas. La gente se enfada.</p"
368,Esa vez que fui a tu casa por lo del club Dos por Tres.,Aquella vez que fui a tu casa con las Apple Pi.,<s>Esa vez que fui a tu casa por lo del club Dos por Tres.</s>>>>><p>Aquella vez que fui a tu casa con las Apple Pi.</p>,<s>Esa vez que fui a tu casa por lo del club Dos por Tres.</s>>>>><p>,Esa vez que fui a tu casa por lo del club Dos por Tres.
369,Tengo otro compromiso.,Tengo... otro compromiso.,<s>Tengo otro compromiso.</s>>>>><p>Tengo... otro compromiso.</p>,<s>Tengo otro compromiso.</s>>>>><p>,¿Otro compromiso?
370,"Clay. Recuerdas a la mamá de Zach, la señora Dempsey.","Clay. ¿Recuerdas a la madre de Zach, la señora Dempsey?","<s>Clay. Recuerdas a la mamá de Zach, la señora Dempsey.</s>>>>><p>Clay. ¿Recuerdas a la madre de Zach, la señora Dempsey?</p>","<s>Clay. Recuerdas a la mamá de Zach, la señora Dempsey.</s>>>>><p>","Clay. Recuerdas a la madre de Zach, la señora Dempsey."
371,o debí haber hecho.,o debería.,<s>o debí haber hecho.</s>>>>><p>o debería.</p>,<s>o debí haber hecho.</s>>>>><p>,...o debería haber hecho algo.
372,me dirás dónde está.,dime dónde está.,<s>me dirás dónde está.</s>>>>><p>dime dónde está.</p>,<s>me dirás dónde está.</s>>>>><p>,...me dirás dónde está.
373,antes de enviar los datos a China. Y sucede miles y miles de veces por día y por hora.,"antes de enviar los datos a China continental. Y ocurre miles y miles de veces al día, a la hora.","<s>antes de enviar los datos a China. Y sucede miles y miles de veces por día y por hora.</s>>>>><p>antes de enviar los datos a China continental. Y ocurre miles y miles de veces al día, a la hora.</p>",<s>antes de enviar los datos a China. Y sucede miles y miles de veces por día y por hora.</s>>>>><p>,"y, durante el día, se envía a China. Y ocurre miles de veces por día y por hora."
374,Se enfureció esta noche por lo de la tipa.,Se encabronó esta noche por lo de la chica.,<s>Se enfureció esta noche por lo de la tipa.</s>>>>><p>Se encabronó esta noche por lo de la chica.</p>,<s>Se enfureció esta noche por lo de la tipa.</s>>>>><p>,Se enfadó por lo de la tipa.
375,eres asombrosa.,eres asombrosa.,<s>eres asombrosa.</s>>>>><p>eres asombrosa.</p>,<s>eres asombrosa.</s>>>>><p>,...eres increíble.
376,"Pero me puede dar un infarto. Ojalá no influya en la cifra. ¿Por qué estás resentido? Tú bostezas, no recibes el bostezo.","Quizá me dé un infarto. Espero que eso no afecte a las cifras. ¿Por qué estás tan molesto? Eres el que bosteza, no el que lo recibe.","<s>Pero me puede dar un infarto. Ojalá no influya en la cifra. ¿Por qué estás resentido? Tú bostezas, no recibes el bostezo.</s>>>>><p>Quizá me dé un infarto. Espero que eso no afecte a las cifras. ¿Por qué estás tan molesto? Eres el que bosteza, no el que lo recibe.</p>","<s>Pero me puede dar un infarto. Ojalá no influya en la cifra. ¿Por qué estás resentido? Tú bostezas, no recibes el bostezo.</s>>>>><p>","Pero me puede dar un infarto. Ojalá no se resista en la cifra. ¿Por qué estás resentido? Tú bostezas, no recibes el bostezo."
377,Conseguiste las espadas.,Tienes tus espadas.,<s>Conseguiste las espadas.</s>>>>><p>Tienes tus espadas.</p>,<s>Conseguiste las espadas.</s>>>>><p>,Conseguiste las espadas.
378,"Agarra un folleto, ellos ofrecen becas. No necesito ningún folleto ni tus becas","Coge un folleto. Tienen becas. No necesito un folleto, ni tu beca,","<s>Agarra un folleto, ellos ofrecen becas. No necesito ningún folleto ni tus becas</s>>>>><p>Coge un folleto. Tienen becas. No necesito un folleto, ni tu beca,</p>","<s>Agarra un folleto, ellos ofrecen becas. No necesito ningún folleto ni tus becas</s>>>>><p>",para que los alumnos se sientan a gusto. No necesito ningún folleto ni tus becas.
379,...pero sigues apareciéndote.,...siempre apareces.,<s>...pero sigues apareciéndote.</s>>>>><p>...siempre apareces.</p>,<s>...pero sigues apareciéndote.</s>>>>><p>,...pero sigues apareciéndote.
380,"compañeros de escuela y de trabajo,","compañeros de clase y de trabajo,","<s>compañeros de escuela y de trabajo,</s>>>>><p>compañeros de clase y de trabajo,</p>","<s>compañeros de escuela y de trabajo,</s>>>>><p>","compañeros de instituto y de trabajo,"
381,Hay leyes de la física asociadas al horizonte.,Hay física asociada al horizonte:,<s>Hay leyes de la física asociadas al horizonte.</s>>>>><p>Hay física asociada al horizonte:</p>,<s>Hay leyes de la física asociadas al horizonte.</s>>>>><p>,La física ha relacionado el horizonte.
382,"No, perdón, es culpa mía... Está usando un mingitorio...","No, lo siento, mea culpa, no... Está meando, eso es un urinario...","<s>No, perdón, es culpa mía... Está usando un mingitorio...</s>>>>><p>No, lo siento, mea culpa, no... Está meando, eso es un urinario...</p>","<s>No, perdón, es culpa mía... Está usando un mingitorio...</s>>>>><p>","...no, perdón, es culpa mía. Está usando un mingitorio..."
383,"Bueno, gracias por la parrilla. Espera. Puedes quemar la granja de Jacob otro día.","En fin, gracias por la plancha. Para. Puedes quemar la granja de Jacob en otro momento.","<s>Bueno, gracias por la parrilla. Espera. Puedes quemar la granja de Jacob otro día.</s>>>>><p>En fin, gracias por la plancha. Para. Puedes quemar la granja de Jacob en otro momento.</p>","<s>Bueno, gracias por la parrilla. Espera. Puedes quemar la granja de Jacob otro día.</s>>>>><p>",Dale la parrilla. Espera. Puedes quemar la granja de Jacob.
